         15773023 function calls (15684623 primitive calls) in 343.881 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.014    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/control_flow_ops.py:103(_Identity)
        9    0.000    0.000    0.014    0.002 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_array_ops.py:1543(transpose)
     1874    0.002    0.000    0.014    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/ops.py:3379(get_default)
94337/90741    0.012    0.000    0.014    0.000 {built-in method builtins.len}
     4656    0.006    0.000    0.014    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:1406(Modified)
        4    0.000    0.000    0.014    0.003 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/math_ops.py:789(reduce_prod)
 1068/420    0.003    0.000    0.013    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/text_format.py:212(PrintFieldValue)
        4    0.000    0.000    0.013    0.003 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/math_grad.py:369(_AddGrad)
     3087    0.005    0.000    0.013    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/tensor_shape.py:407(__init__)
    12998    0.010    0.000    0.013    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/encoder.py:372(EncodeVarint)
       18    0.000    0.000    0.013    0.001 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/gen_math_ops.py:1686(_sum)
        2    0.000    0.000    0.012    0.006 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/math_grad.py:32(_ReductionGradAssist)
    16952    0.009    0.000    0.012    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:1332(_UpdateOneofState)
      551    0.000    0.000    0.012    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/numpy/core/_methods.py:34(_prod)
     4197    0.005    0.000    0.011    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/encoder.py:695(EncodeField)
     9024    0.009    0.000    0.011    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:821(HasField)
     3777    0.004    0.000    0.011    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:415(MakeRepeatedMessageDefault)
     1592    0.003    0.000    0.011    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/tensor_shape.py:526(merge_with)
      321    0.001    0.000    0.011    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/constant_op.py:170(_ConstantShape)
       41    0.002    0.000    0.011    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/ops/math_ops.py:1455(_ReductionShape)
    54105    0.011    0.000    0.011    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/google/protobuf/internal/python_message.py:792(<lambda>)
        1    0.000    0.000    0.011    0.011 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/client/session.py:794(__init__)
        1    0.000    0.000    0.011    0.011 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/client/session.py:78(__init__)
      188    0.002    0.000    0.010    0.000 /Users/taivo/anaconda/lib/python3.5/site-packages/tensorflow/python/framework/tensor_util.py:405(MakeNdarray)
